Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"
"R138", "Bottom", "5805.169", "790.556", "0"
"R139", "Bottom", "5805.169", "910.556", "0"
"R140", "Bottom", "852.722", "2552.428", "0"
"R141", "Bottom", "852.722", "2432.430", "0"
"R142", "Bottom", "852.722", "2372.430", "0"
"R143", "Bottom", "852.722", "2492.430", "0"
"R144", "Bottom", "4686.348", "3266.992", "0"
"R145", "Bottom", "4686.348", "3376.992", "0"
"R146", "Bottom", "4042.497", "2711.442", "270"
"R147", "Bottom", "3984.828", "2711.442", "270"
"R150", "Bottom", "4826.348", "3376.992", "0"
"R151", "Bottom", "4103.952", "3456.965", "180"
"R152", "Bottom", "1188.630", "1961.162", "0"
"R153", "Bottom", "1188.630", "2071.162", "0"
"R154", "Bottom", "544.779", "1405.612", "270"
"R155", "Bottom", "487.110", "1405.612", "270"
"R158", "Bottom", "1328.630", "2071.162", "0"
"R159", "Bottom", "378.924", "2079.701", "90"
"R160", "Bottom", "3779.357", "2915.650", "180"
"R161", "Bottom", "3779.439", "2970.140", "180"
"R162", "Bottom", "3777.473", "2826.716", "0"
"R163", "Bottom", "2707.254", "779.218", "0"
"R164", "Bottom", "2707.294", "856.521", "0"
"R165", "Bottom", "2894.324", "760.765", "180"
"R166", "Bottom", "3590.291", "2845.135", "0"
"R167", "Bottom", "3390.964", "2345.566", "270"
"R168", "Bottom", "3011.811", "1771.650", "180"
"R169", "Bottom", "3390.960", "1673.228", "270"
"R170", "Bottom", "3110.236", "1771.650", "180"
"R171", "Bottom", "2080.668", "2167.279", "90"
"R172", "Bottom", "5354.330", "1850.390", "0"
"R185", "Bottom", "2161.417", "403.543", "90"
"R186", "Top", "4193.790", "1013.601", "0"
"R187", "Bottom", "2952.756", "1358.268", "90"
"R188", "Top", "2530.000", "2900.000", "0"
"R189", "Top", "2980.000", "3070.000", "180"
"R190", "Top", "2980.000", "3020.000", "0"
"R191", "Top", "2530.000", "2850.000", "0"
"R192", "Top", "2020.000", "2900.000", "0"
